SES_fclk_1000_kHz__Wg_16_Ww_3_DF_16_AS_15.csv | SNR=62.085 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_16_Ww_3_DF_16_AS_15.csv | SNR=62.085 dB | Amp_dB,SES_fclk_1000_kHz__Wg_16_Ww_3_DF_16_AS_31.csv | SNR=67.721 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_16_Ww_3_DF_16_AS_31.csv | SNR=67.721 dB | Amp_dB,SES_fclk_1000_kHz__Wg_16_Ww_3_DF_32_AS_15.csv | SNR=37.063 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_16_Ww_3_DF_32_AS_15.csv | SNR=37.063 dB | Amp_dB,SES_fclk_1000_kHz__Wg_16_Ww_3_DF_32_AS_31.csv | SNR=44.080 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_16_Ww_3_DF_32_AS_31.csv | SNR=44.080 dB | Amp_dB,SES_fclk_1000_kHz__Wg_16_Ww_4_DF_16_AS_15.csv | SNR=69.502 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_16_Ww_4_DF_16_AS_15.csv | SNR=69.502 dB | Amp_dB,SES_fclk_1000_kHz__Wg_16_Ww_4_DF_16_AS_31.csv | SNR=70.904 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_16_Ww_4_DF_16_AS_31.csv | SNR=70.904 dB | Amp_dB,SES_fclk_1000_kHz__Wg_16_Ww_4_DF_32_AS_15.csv | SNR=57.010 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_16_Ww_4_DF_32_AS_15.csv | SNR=57.010 dB | Amp_dB,SES_fclk_1000_kHz__Wg_16_Ww_4_DF_32_AS_31.csv | SNR=64.187 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_16_Ww_4_DF_32_AS_31.csv | SNR=64.187 dB | Amp_dB,SES_fclk_1000_kHz__Wg_16_Ww_5_DF_16_AS_15.csv | SNR=70.031 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_16_Ww_5_DF_16_AS_15.csv | SNR=70.031 dB | Amp_dB,SES_fclk_1000_kHz__Wg_16_Ww_5_DF_16_AS_31.csv | SNR=71.306 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_16_Ww_5_DF_16_AS_31.csv | SNR=71.306 dB | Amp_dB,SES_fclk_1000_kHz__Wg_16_Ww_5_DF_32_AS_15.csv | SNR=68.403 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_16_Ww_5_DF_32_AS_15.csv | SNR=68.403 dB | Amp_dB,SES_fclk_1000_kHz__Wg_16_Ww_5_DF_32_AS_31.csv | SNR=68.683 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_16_Ww_5_DF_32_AS_31.csv | SNR=68.683 dB | Amp_dB,SES_fclk_1000_kHz__Wg_8_Ww_3_DF_16_AS_15.csv | SNR=53.034 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_8_Ww_3_DF_16_AS_15.csv | SNR=53.034 dB | Amp_dB,SES_fclk_1000_kHz__Wg_8_Ww_3_DF_16_AS_31.csv | SNR=54.549 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_8_Ww_3_DF_16_AS_31.csv | SNR=54.549 dB | Amp_dB,SES_fclk_1000_kHz__Wg_8_Ww_3_DF_32_AS_15.csv | SNR=38.212 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_8_Ww_3_DF_32_AS_15.csv | SNR=38.212 dB | Amp_dB,SES_fclk_1000_kHz__Wg_8_Ww_3_DF_32_AS_31.csv | SNR=42.469 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_8_Ww_3_DF_32_AS_31.csv | SNR=42.469 dB | Amp_dB,SES_fclk_1000_kHz__Wg_8_Ww_4_DF_16_AS_15.csv | SNR=55.145 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_8_Ww_4_DF_16_AS_15.csv | SNR=55.145 dB | Amp_dB,SES_fclk_1000_kHz__Wg_8_Ww_4_DF_16_AS_31.csv | SNR=53.213 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_8_Ww_4_DF_16_AS_31.csv | SNR=53.213 dB | Amp_dB,SES_fclk_1000_kHz__Wg_8_Ww_4_DF_32_AS_15.csv | SNR=49.651 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_8_Ww_4_DF_32_AS_15.csv | SNR=49.651 dB | Amp_dB,SES_fclk_1000_kHz__Wg_8_Ww_4_DF_32_AS_31.csv | SNR=50.299 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_8_Ww_4_DF_32_AS_31.csv | SNR=50.299 dB | Amp_dB,SES_fclk_1000_kHz__Wg_8_Ww_5_DF_16_AS_15.csv | SNR=49.465 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_8_Ww_5_DF_16_AS_15.csv | SNR=49.465 dB | Amp_dB,SES_fclk_1000_kHz__Wg_8_Ww_5_DF_16_AS_31.csv | SNR=48.613 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_8_Ww_5_DF_16_AS_31.csv | SNR=48.613 dB | Amp_dB,SES_fclk_1000_kHz__Wg_8_Ww_5_DF_32_AS_15.csv | SNR=47.706 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_8_Ww_5_DF_32_AS_15.csv | SNR=47.706 dB | Amp_dB,SES_fclk_1000_kHz__Wg_8_Ww_5_DF_32_AS_31.csv | SNR=45.729 dB | Freq_Hz,SES_fclk_1000_kHz__Wg_8_Ww_5_DF_32_AS_31.csv | SNR=45.729 dB | Amp_dB,DSM raw bitstream | SQNR=71.047 dB | Freq_Hz,DSM raw bitstream | SQNR=71.047 dB | Amp_dB,DSM ideally filtered bitstream | SQNR=71.003 dB | Freq_Hz,DSM ideally filtered bitstream | SQNR=71.003 dB | Amp_dB
609.756097560961,-77.7067791604868,609.756097560961,-74.799476970432,304.87804878048,-66.1932183928771,304.87804878048,-58.8846045774577,609.756097560961,-77.5185896932253,609.756097560961,-83.6297206578727,304.87804878048,-69.931755785308,304.87804878048,-86.9091727661774,609.756097560961,-81.4337432524467,609.756097560961,-83.1734793488327,304.87804878048,-83.5963096623968,304.87804878048,-94.4665823379157,609.756097560961,-111.569736906863,609.756097560961,-114.513307405256,304.87804878048,-99.0919949102185,304.87804878048,-109.614320845608,609.756097560961,-120.352352866422,609.756097560961,-113.504546531649,304.87804878048,-112.862096465407,304.87804878048,-117.255346429504,609.756097560961,-117.941230298903,609.756097560961,-135.33509091792,304.87804878048,-127.611198784811,304.87804878048,-117.076253271757,1220.703125,-98.3443851622861,1220.703125,-90.0851156618055
670.731707317057,-80.5253408830649,670.731707317057,-72.0051312933179,335.365853658528,-55.4002300722208,335.365853658528,-56.6469962992818,670.731707317057,-76.4206739330706,670.731707317057,-79.0184875554799,335.365853658528,-71.5501738050869,335.365853658528,-85.7532482372808,670.731707317057,-81.5805894859737,670.731707317057,-86.6844555929894,335.365853658528,-94.4370098011372,335.365853658528,-88.5921862292903,670.731707317057,-117.138298327465,670.731707317057,-110.110176485499,335.365853658528,-98.4434712588172,335.365853658528,-100.456024131139,670.731707317057,-121.23905125953,670.731707317057,-111.420684826242,335.365853658528,-111.324205058215,335.365853658528,-127.328635696745,670.731707317057,-122.616868904826,670.731707317057,-126.706049160346,335.365853658528,-132.868547088393,335.365853658528,-117.571717415019,1342.7734375,-98.1467590630973,1342.7734375,-90.5854919039365
731.707317073153,-82.4323580531412,731.707317073153,-72.1810017338554,365.853658536576,-52.7825851622758,365.853658536576,-55.5465994215417,731.707317073153,-81.67189321186,731.707317073153,-78.4226745111626,365.853658536576,-70.7808503863561,365.853658536576,-86.8407629294233,731.707317073153,-80.2765882667099,731.707317073153,-93.5073184620735,365.853658536576,-82.9005149494533,365.853658536576,-80.6594323701266,731.707317073153,-112.18868054697,731.707317073153,-120.862575966163,365.853658536576,-95.1541682160334,365.853658536576,-98.3688517798372,731.707317073153,-121.789536369703,731.707317073153,-115.305149993184,365.853658536576,-110.611111425179,365.853658536576,-126.563643065497,731.707317073153,-118.318513355878,731.707317073153,-119.046494697817,365.853658536576,-134.024565677853,365.853658536576,-122.720996226874,1464.84375,-88.1470749657473,1464.84375,-80.138160998414
792.682926829249,-79.6879370800479,792.682926829249,-73.3694055043607,396.341463414625,-56.1913142062426,396.341463414625,-58.687311839319,792.682926829249,-99.6810354510878,792.682926829249,-80.5204575022411,396.341463414625,-70.1742186065263,396.341463414625,-101.233074503204,792.682926829249,-82.5103737470805,792.682926829249,-83.6411441664515,396.341463414625,-83.5096986003173,396.341463414625,-80.6201476090798,792.682926829249,-111.98540966407,792.682926829249,-107.513476567172,396.341463414625,-94.3243289302865,396.341463414625,-98.7389600915958,792.682926829249,-117.434548637573,792.682926829249,-130.422659572558,396.341463414625,-110.860863022236,396.341463414625,-121.743894999005,792.682926829249,-116.797891520344,792.682926829249,-113.576371426962,396.341463414625,-118.825800190809,396.341463414625,-137.221106661017,1586.9140625,-85.1187906061544,1586.9140625,-77.3158263374424
853.658536585345,-73.1342396013931,853.658536585345,-75.5851071489984,426.829268292673,-59.9513268823018,426.829268292673,-72.3923633648051,853.658536585345,-81.863135243273,853.658536585345,-80.0615175193092,426.829268292673,-71.9841398431053,426.829268292673,-85.700681918401,853.658536585345,-81.662115489133,853.658536585345,-87.1611183548084,426.829268292673,-86.3477520886738,426.829268292673,-87.183231972605,853.658536585345,-117.693255644437,853.658536585345,-103.646462467321,426.829268292673,-95.9467150221057,426.829268292673,-102.228914708743,853.658536585345,-109.23521248145,853.658536585345,-109.459864118553,426.829268292673,-114.742663909376,426.829268292673,-111.513809491209,853.658536585345,-104.991078835004,853.658536585345,-108.27000863591,426.829268292673,-123.115842431177,426.829268292673,-124.888461201022,1708.984375,-87.7739308100663,1708.984375,-79.7851419615973
914.634146341441,-69.5644359749756,914.634146341441,-77.5802515684916,457.317073170721,-49.8326660704914,457.317073170721,-59.8583222412362,914.634146341441,-79.6160387615545,914.634146341441,-80.431118441103,457.317073170721,-78.9227607342225,457.317073170721,-80.718787104028,914.634146341441,-82.6688850467051,914.634146341441,-87.0057064601417,457.317073170721,-84.2513145275616,457.317073170721,-105.322575490372,914.634146341441,-122.612344409148,914.634146341441,-107.128127795842,457.317073170721,-103.051031860556,457.317073170721,-112.398257509869,914.634146341441,-109.156022940789,914.634146341441,-103.512188073199,457.317073170721,-122.345505581095,457.317073170721,-109.27367922814,914.634146341441,-98.5621265663868,914.634146341441,-108.274435411036,457.317073170721,-117.898687201821,457.317073170721,-120.76460618107,1831.0546875,-94.5223639834785,1831.0546875,-87.4909235470962
975.609756097537,-68.0590823503922,975.609756097537,-79.9884539880733,487.804878048769,-47.6597663347549,487.804878048769,-57.4865449706871,975.609756097537,-83.719335764283,975.609756097537,-83.1123387528573,487.804878048769,-70.161786628046,487.804878048769,-83.4755489770997,975.609756097537,-91.3714212349049,975.609756097537,-83.1185919986961,487.804878048769,-82.7833934828081,487.804878048769,-89.7942594322725,975.609756097537,-121.702055353445,975.609756097537,-115.457101238822,487.804878048769,-102.971840121157,487.804878048769,-106.351001558283,975.609756097537,-109.907704451408,975.609756097537,-102.937727254205,487.804878048769,-118.231033772766,487.804878048769,-111.495743806592,975.609756097537,-97.2091529523726,975.609756097537,-131.93619432696,487.804878048769,-113.311333398614,487.804878048769,-117.912900392885,1953.125,-93.6009435397601,1953.125,-84.8307542147064
1036.58536585363,-69.5145193706894,1036.58536585363,-79.838558051625,518.292682926817,-49.2146098850367,518.292682926817,-54.0130662899799,1036.58536585363,-85.4277503395278,1036.58536585363,-89.6942992705014,518.292682926817,-66.6286408099076,518.292682926817,-103.513517360825,1036.58536585363,-90.4879816809827,1036.58536585363,-88.0234527834815,518.292682926817,-92.0199324775466,518.292682926817,-89.1587864652903,1036.58536585363,-121.745606429386,1036.58536585363,-110.90754298368,518.292682926817,-94.9505731886729,518.292682926817,-101.995004534445,1036.58536585363,-106.062057823298,1036.58536585363,-107.115704027001,518.292682926817,-116.027133819916,518.292682926817,-124.334552350197,1036.58536585363,-100.646535776678,1036.58536585363,-111.755585830377,518.292682926817,-117.71341235982,518.292682926817,-115.714162172344,2075.1953125,-87.9218026651393,2075.1953125,-80.0316511148156
1097.56097560973,-70.4063991502669,1097.56097560973,-83.9558500851116,548.780487804865,-49.3713888370787,548.780487804865,-52.3351398470799,1097.56097560973,-84.3231718711002,1097.56097560973,-86.8734658724045,548.780487804865,-67.9045991701385,548.780487804865,-86.4169914965147,1097.56097560973,-85.7898810275728,1097.56097560973,-87.4304838937944,548.780487804865,-90.4164175046641,548.780487804865,-91.7195496768591,1097.56097560973,-111.184257056151,1097.56097560973,-111.098035219291,548.780487804865,-94.5674122617707,548.780487804865,-99.63421436278,1097.56097560973,-106.034183135223,1097.56097560973,-109.294328134697,548.780487804865,-117.950493172282,548.780487804865,-120.088307342926,1097.56097560973,-112.40396026583,1097.56097560973,-114.170810100831,548.780487804865,-124.161441745058,548.780487804865,-114.345395067469,2197.265625,-85.5345271120691,2197.265625,-77.7067961415313
1158.53658536583,-70.887766276173,1158.53658536583,-84.5211675856554,579.268292682913,-46.8774756145317,579.268292682913,-54.8212005014607,1158.53658536583,-83.5765667182452,1158.53658536583,-79.8238973533365,579.268292682913,-76.7113249438375,579.268292682913,-91.2327461732024,1158.53658536583,-82.3988246130941,1158.53658536583,-88.8477066120702,579.268292682913,-87.5892085374045,579.268292682913,-90.6343583417217,1158.53658536583,-109.827896602196,1158.53658536583,-116.006765481515,579.268292682913,-99.8606789761771,579.268292682913,-100.79410774445,1158.53658536583,-111.302149352894,1158.53658536583,-109.544821745842,579.268292682913,-116.545274826135,579.268292682913,-121.62879664542,1158.53658536583,-120.062845516861,1158.53658536583,-122.287917017402,579.268292682913,-117.724055630891,579.268292682913,-112.793126026559,2319.3359375,-83.1180872167449,2319.3359375,-76.2424138586877
